country,surface_area,population,population_density,gdp_gross_domestic_product,gdp_growth_rate,gdp_per_capita,trade_export,trade_import,co2_emission_estimates,energy_production_primary,capacity_mw,capacity_factor,generation,generation_biomass,generation_coal,generation_gas,generation_geothermal,generation_hydro,generation_nuclear,generation_oil,generation_solar,generation_waste,generation_wind,emission_per_capita,economy_agriculture,economy_industry,economy_services_and_other
guatemala,108889.0,16914000,157.8,63794,4.1,3903.5,10572.0,16987.0,327,8888888.888888888,3689.1,19.766480678324427,8645.621333333333,0.31208861641870045,0.18337606273449253,0.0,0.03297970024440889,0.3644367337547053,0.0,0.057002265192893024,0.03005964792042708,0.0,0.020056973734372825,1.9333096842852076e-05,0,0,1
guinea,245857.0,12717000,51.8,8875,0.1,703.9,1753.0,2082.0,113,3333333.333333333,510.42,2.0844651772738607,1345.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.885743492962177e-06,0,0,1
honduras,112492.0,9265000,82.8,20365,3.6,2521.9,3657.0,8448.0,105,7777777.777777778,2164.87,10.496791805470066,6201.644,0.0,0.0,0.0,0.0,0.2873222003713854,0.0,0.42574839832792727,0.2347287267698694,0.0,0.05220067453081796,1.1332973556395036e-05,0,0,1
hungary,93024.0,9722000,107.4,121715,3.1,12350.6,103071.0,92044.0,423,26944444.444444444,6290.7,5.941791102043244,28699.710166666668,0.0,0.17908682596974657,0.291092213759348,0.0,0.0,0.5251819238755263,0.0001343916010859134,0.004504644794293247,0.0,0.0,4.350956593293561e-05,0,0,1
iceland,103000.0,335000,3.3,16780,4.2,50936.0,4450.0,5703.0,284,264444444.44444445,2484.6,5.4580348133471075,5733.824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0008477611940298507,0,0,1
india,3287263.0,1339180000,450.4,2116239,7.6,1614.2,260327.0,356705.0,23103,7500000.0,316088.546,461.2242658149034,1198426.5449679305,0.0,0.7512724783001948,0.04048699888821194,0.0,0.11711972293364334,0.039695012455914024,0.0022557729998529496,0.04475400743183241,0.0,0.004416006990350518,1.7251601726429606e-05,0,0,1
indonesia,1910931.0,263991000,145.7,861934,4.8,3346.5,144490.0,135653.0,19481,9722222.222222222,48751.418,80.75591562201018,227592.816,0.0,0.701380178889302,0.23452229704825128,0.0,0.058491767156657534,0.0,0.005605756905789153,0.0,0.0,0.0,7.379418237742953e-05,0,0,1
iran,1628750.0,81163000,49.8,398563,0.4,5038.1,45627.0,35333.0,13291,35277777.777777776,61362.1,49.293347343459885,264175.83133333334,0.0,0.0,0.7641021473508653,0.0,0.0959709670337317,0.02027482973354108,0.1180178362367325,0.0007119424931900217,0.0,0.0009222771519394126,0.00016375688429456773,0,0,1
iraq,435052.0,38275000,88.1,164234,-2.4,4509.0,27341.0,45831.0,6744,16111111.11111111,18160.6,8.453517257477516,51387.458,0.0,0.0,0.3970091301266547,0.0,0.12528539551421283,0.0,0.4777054743591325,0.0,0.0,0.0,0.00017619856303069888,0,1,0
ireland,69797.0,4762000,69.1,283716,26.3,60513.6,129315.0,76997.0,84,31666666.666666664,7582.15,20.716235299787073,25797.408833333335,0.03751171314343825,0.203978645064566,0.5266257199616812,0.0,0.03777394878282769,0.0,0.02202095193630332,0.0,0.0,0.17208902111118354,1.763964720705586e-05,0,0,1
